01.06.2020 00:00;Bel_A53_M5_3007;Vwz_A53_M5_3007;Bel_A57_M2_1138;Vwz_A57_M2_1138;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_D31;Vwz_D31;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_D43;Vwz_D43;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H53_M3_3006;Vwz_H53_M3_3006;Bel_H53_M6_1140;Vwz_H53_M6_1140;Bel_H57_M1_1137;Vwz_H57_M1_1137;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
08.12.2021 01:00;2;2000;0;0;3;6100;5;3010;0;0;0;3600000;5;22090;30;24870;0;0;0;0;4;4000;0;0;4;4000;0;0;0;0;0;0;0;0
08.12.2021 02:00;0;0;0;0;1;480;4;2330;1;28670;0;3600000;6;65740;20;18200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.12.2021 03:00;2;2000;0;0;1;490;3;2320;1;1170;0;3600000;1;250;18;18060;0;0;0;0;2;2000;0;0;2;2000;0;0;0;0;0;0;0;0
08.12.2021 04:00;7;7000;0;0;6;27900;7;41160;1;23098;0;3600000;7;6080;18;15480;0;0;0;0;9;8980;0;0;10;9980;0;0;0;0;0;0;0;0
08.12.2021 05:00;22;22044;0;0;9;118840;12;47680;2;2340;0;3600000;20;158190;91;108030;0;0;0;0;26;25950;0;0;26;25970;0;0;0;0;0;0;0;0
08.12.2021 06:00;30;29950;0;0;24;314536;35;197250;7;21630;0;3600000;45;199303;256;365628;0;0;0;0;34;33920;1;1000;34;33950;0;0;0;0;0;0;0;0
08.12.2021 07:00;36;36044;0;0;60;847109;84;335960;7;94850;0;3600000;119;469073;502;842438;0;0;0;0;38;37910;4;4000;37;36920;0;0;0;0;0;0;0;0
08.12.2021 08:00;32;31940;0;0;86;956952;163;826362;25;66710;0;3600000;152;713756;504;820040;0;0;0;0;39;41758;2;2000;40;39950;0;0;0;0;0;0;0;0
08.12.2021 09:00;33;32241;0;0;63;878963;173;967547;23;170660;0;3600000;153;780817;487;714770;0;0;0;0;31;30930;1;1000;31;30950;0;0;0;0;0;0;0;0
08.12.2021 10:00;30;28950;0;0;92;1297464;162;777899;48;331365;0;3600000;166;1123215;493;845326;0;0;0;0;34;33970;0;0;34;33950;0;0;0;0;0;0;0;0
