01.06.2020 00:00;Bel_A51_M1S_494;Vwz_A51_M1S_494;Bel_A54_M4SL_506;Vwz_A54_M4SL_506;Bel_A55_M3S_505;Vwz_A55_M3S_505;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H51_A74/M1S_493;Vwz_H51_A74/M1S_493;Bel_H54_M3SL_1289;Vwz_H54_M3SL_1289;Bel_H55_A30/M3S_504;Vwz_H55_A30/M3S_504;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
06.06.2020 16:00;8;7990;5;5000;13;12990;48;28825;135;231738;250;308670;0;0;8;7990;5;5000;12;11970;0;0;0;0;0;0;0;0
06.06.2020 17:00;7;7000;4;4000;11;11000;65;45560;147;229942;251;268737;0;0;8;7980;3;3000;12;11980;0;0;0;0;0;0;0;0
06.06.2020 18:00;8;7990;5;4980;13;12980;57;60722;141;178866;211;200492;0;0;8;7990;5;5000;12;11990;0;0;0;0;0;0;0;0
06.06.2020 19:00;8;8000;3;2990;11;10990;38;22210;113;89530;190;192870;0;0;7;7000;4;3990;11;10990;0;0;0;0;0;0;0;0
06.06.2020 20:00;6;6000;4;4000;10;9990;39;44720;84;98714;126;80050;0;0;6;6000;4;3990;10;10000;0;0;0;0;0;0;0;0
06.06.2020 21:00;6;5990;4;4000;9;9000;29;22080;59;42880;99;92136;0;0;6;6000;3;3000;9;8980;0;0;0;0;0;0;0;0
06.06.2020 22:00;6;6000;4;3990;10;9990;18;15850;67;56860;101;102860;0;0;6;6000;5;5000;10;9990;0;0;0;0;0;0;0;0
06.06.2020 23:00;4;4000;5;4990;8;7990;13;6850;25;17120;67;48100;0;0;4;3990;4;4000;8;7990;0;0;0;0;0;0;0;0
07.06.2020 00:00;6;6000;3;3000;4;4000;23;15050;37;27430;49;61880;0;0;6;6000;2;2000;4;4000;0;0;0;0;0;0;0;0
07.06.2020 01:00;0;0;0;0;0;0;10;5710;22;16930;46;26200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.06.2020 02:00;0;0;0;0;0;0;6;3630;12;10290;35;22660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.06.2020 03:00;0;0;0;0;0;0;5;2150;14;9760;29;18540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.06.2020 04:00;1;1000;0;0;2;1990;5;1720;10;8320;22;19210;0;0;1;1000;0;0;2;2000;0;0;0;0;0;0;0;0
07.06.2020 05:00;1;1000;1;1000;4;4000;15;9330;9;5970;28;18950;0;0;1;1000;1;1000;4;3990;0;0;0;0;0;0;0;0
07.06.2020 06:00;3;3000;2;2000;6;6050;10;6500;14;13170;30;19670;0;0;3;3000;2;2000;6;6000;0;0;0;0;0;0;0;0
07.06.2020 07:00;4;4000;2;1990;6;6000;10;4500;13;9260;19;12250;0;0;4;3980;2;2000;6;6000;0;0;0;0;0;0;0;0
07.06.2020 08:00;4;3990;2;1990;6;5990;6;3380;23;15400;33;27210;0;0;4;3990;2;1990;6;6000;0;0;0;0;0;0;0;0
07.06.2020 09:00;4;4000;2;1990;6;6000;19;24650;33;26240;52;28710;0;0;4;4000;2;2000;6;6000;0;0;0;0;0;0;0;0
07.06.2020 10:00;4;4000;2;1990;6;6000;32;15750;74;80514;81;57028;0;0;4;4000;2;2000;6;5990;0;0;0;0;0;0;0;0
07.06.2020 11:00;4;4000;2;1990;6;6000;36;22575;94;72095;120;75580;0;0;4;4000;2;2000;6;6000;0;0;0;0;0;0;0;0
07.06.2020 12:00;5;5000;2;2000;9;9000;38;24300;83;82660;134;121750;0;0;5;4990;3;3000;9;8990;0;0;0;0;0;0;0;0
07.06.2020 13:00;8;8000;4;3990;12;12000;39;23920;98;89230;125;148650;0;0;8;7990;4;3990;12;12000;0;0;0;0;0;0;0;0
07.06.2020 14:00;8;8000;5;5000;12;11980;44;28970;100;81200;151;190344;0;0;8;8000;4;3990;12;12000;0;0;0;0;0;0;0;0
